predicted,テキスト
0.96576277,夢を叶えたいことを叶えるhikakinさん本当に凄い息子もラーメン大好きなので発売されたら即購入して食べますね
0.960500637,これあれだねスーパーでも発売して欲しいくらい食べたいです僕も小さい時から0年生まれなんですけど味噌ラーメンが大好きで近くに札幌ラーメンがあって毎日のように言っていますそれぐらい味噌ラーメンが大好きです
0.960104701,このラーメンを同じように元気が無い時腹ペコの時ヒカキンさんの話を思い出しながら食べたいと思いますインフルエンサーの方で夢を叶えたと聞いてこんなに本当に良かったここまで長い道のり努力と信念つらぬいたんだなって感動したのは初めてかもです
0.95954633,お疲れさまですヒカ様の努力と笑顔が多くの人の心に自然と入って来るのがヒカ様おめでとう御座います喜んで買わせて頂き応援していきたいと思いますヒカ様の声が笑顔が私達の元気の素です本当にありがとう
0.957657156,きっと想像を絶する苦労をたくさんしてきている中で本当にラーメンに救われて心からラーメンが好きなんだろうなとひしひし伝わるその思いは決して軽いものではないのにみんなが元気になれるようにって誰でも手に取れるような値段と店舗展開でみんなに共有してくれて聖人すぎる
0.956414877,完成おめでとうございます発売楽しみですラーメンは豚骨とかが人気が多いですがそこを味噌でくるところがたまらないしかもニンニクいり最高楽しみにしてますあちこちのセブン巡りしよ
0.955047856,自分の好きな事ラーメンで視聴者をも一緒に喜ばせれるのってhikakinさん位だと思う幸せを独り占めせず皆んなで分かち合える形に出来るhikakinさんはやっぱり凄い絶対買います頂きます
0.953964634,私も同郷なのであのミサのガツンと感のある味噌ラーメンは脳に刻まれてます笑おめでとうございます楽しみにしています
0.953953656,0年がかりでの商品化は気合いが入ってますね食堂ミサの味噌ラーメンが原点の味ということで私もミサの味噌ラーメンは大好きなので味には期待できます早く食べてみたい
0.953670334,hikakinさんの真剣さがこっちにまで伝わってきて感動しました元スーパー店員で僕の人生の諦めない部分をhikakinさんが救ってくれましたありがとうございます
0.953635517,ヒカキンさんホントにラーメン好きですね自分の好きなもので夢が叶えれるのすばらしいと思う
0.953527898,自分の夢を叶えられる人がいてその瞬間を沢山の人と共有出来るのはhikakinだからですねおめでとうございます自分のやりたい事を本当に達成出来るのを証明してくれた貴重な人です
0.953045364,白味噌も入ったベースのニンニクのパンチあるラーメンの味の意味がわかりましたニューミサ僕も大ファンですコレは試してみたい
0.9522018,自分の好きなラーメンをいつも見てるhikakinさんが作ってくれるとは思ってもいなかった勉強の夜食に食べます0日は朝イチでセブンに直行だ
0.951806683,発売日から毎日セブンを巡っていますがまだ買えていません勇気を振り絞って店員さんに次いつ入荷するか聞いてみたら今後入荷予定はありませんと言われてしまいました再販されないのでしょうか食べたかったです泣
0.951800471,濃厚味噌ラーメンが税込で0円なのなぜかひかきんの優しさ詰まってるような感じがしてすき
0.95167621,すごい興味あるラーメン0年間とは凄いですねでもほんとに何もしない期間を作って欲しいです
0.951550144,好きなことで生きていく報告前は視聴者の心を昂らせ報告後は自分の夢を叶えることで視聴者を喜ばせるやっぱhikakinさんは本物のyoutuberだ
0.951483796,0年0月0年0月0日ぐらいに0年後経ってヒカキンさんの味の確認してスープの味に決まりました
0.951362321,何かヒカキンクラスが初の商品開発って凄いな普通もっと格下のインフルエンサーでも出してるのにそれだけ慎重に製作してたって事かなこれはさすがに食べてみたい
