actual,テキスト
1,店舗を作るんじゃなくてそれなりに誰でも手に入れられる商品を作ってくれるところに言葉に上手く出来ない優しさを感じる
1,東京にラーメン店を開くとかじゃなくて手頃な価格で全国で買えるカップ?にしたところがヒカキンって感じして好き
1,小さい子はにんにくは刺激的に感じるかもとかそういう配慮ができるのがすごいと思う
1,お店に行かなきゃ食べれないとかじゃなくてコンビニで買えるっていうのに優しさ感じる
1,単純に小麦アレルギーで麺が食べられないからカップ飯あるの嬉しい
1,時代に残るものを明確に作れるってのは誰にでも出来ることじゃないよすげえなあ
1,自分の好きな料理を自分が手を加えて商品として出せるのって本当に凄いことだよなぁ
1,こうゆう有名人の商品ってぼったくり多いけどヒカキンさんはちゃんと商品として出すのは尊敬
1,〇〇店舗限定とか〇〇期間限定発売とかじゃなくて皆に味わって欲しいって言う思いで全国に出してくれたのマジで嬉しい後単純に自分ラーメン好きだから絶対買う
1,youtuberが知名度を使ってアパレルとかは聞くけどラーメンとかまじで角度違ってまじで逸材なのを知らせてくれるわほんとすげえ尊敬しかねえ
1,店舗じゃないところがまたyoutubeの身近さを感じましたなんか泣きそうになったおめでとう
1,店舗出すより賢いかもしれないスタッフも店舗もなくても成り立つ
1,ラーメンの無い世界なんて考えられないほんとにラーメンって多くの人を救ってると思う
1,ラーメンなら豚骨以外断固拒否の自分だけどなぜかこれは食べてみたいと思った
1,映像で作ってる普通のラーメンが食べたい
1,服とか鞄とかじゃなくてラーメンってのが個人的に最高
1,お店に行かなきゃネットで会員にならなきゃとかではなくて普通にコンビニで帰るのが本当に素晴らしい何より本人が楽しんでるのが最高必ず買いに行きまーす発売日に行くつもりだけど買えるかなーすっごく楽しみですヒカキンおめでとう
1,いくら企画とはいえしっかり色々と研究して自分なりのラーメン作ってるのがすごい尊敬するわ
1,ラーメンとかtシャツとか誰でも買える値段にしたとこに好感もてる
1,服とかじゃなくてラーメン売るのは本当に好きだわ
1,元スーパー店員の経験とか活かして商品開発してるのすごいそのままスーパー続けててもその内商品開発部とかに異動してたかもしれないね
1,実際口に合う合わないは絶対あると思うけどここまで頑張った過程を考えるとそんなの関係なく食べたいって思う
1,こういう有名人が関わる商品って大体ちょっと口出すくらいで後は全部任せるって感じの印象だったけどヒカキンはめちゃくちゃ従事しててやっぱこの人違うなって思ったわ
1,ラーメン店にするの飲食だからインスタントより異物混入系の事件が起こりやすくなるから絶対こっちの方がいいよね
1,嬉しいよ嬉しい前年は抜かされたけどそれまでは新潟がラーメン支出額0位だったんだラーメン王国新潟の誇りだよ
1,服とかコスメじゃなくてラーメン出すの好き
1,他のyoutuberがやるぼったくりアパレルとかじゃなくて本当に自分がやりたいことを実現できるのは尊敬ですo?▽?o
1,いやー他のユーチューバーと違って金持ちしか手が出せない高い洋服とか出すよりこーやって誰もが買えて一回は食べてみたいと思うラーメンとか出すの良いね
1,店をひらくなら遠すぎてヤバい青森だからだけどコンビニなのがいいしお手頃価格なのがいい
1,全国で販売してくれるのめっちゃ嬉しいし絶対食べたい
1,これはさすがに食べたい
1,〇〇監修って名前だけ貸して開発とかはほぼ任せっきりな人もいる中こんな0から0まで全部本気で本人が携わってるのすごいな
1,夢を叶えるためにyoutube活動で忙しい中でもこだわり抜いて商品開発をしてたというヒカキンさんの裏側を見てると本当に勇気を貰える
1,東京の店舗だと地方民は食べに行くの大変だけどセブンだったら全国のみんなが気軽に食べられるし0時間いつでも買いに行けるからすごくありがたいですあー早く食べたい
1,ラーメンなら手軽に買えて嬉しい一つ一つのことに真剣に向き合う姿は尊敬しかありません他のyoutuberを非難するわけではないのですがいつも全力で取り組んでいて結果がでているのも納得です
1,ラーメン作るためにダーツの旅やってたとしてもあれは辞めないで続けて欲しい
1,塩や醤油豚骨のバージョンのラーメンも出してほしいなー
1,他のラーメンより美味いとかそういう言葉使わないのがやっぱりhikakinって感じがして大好き
1,みんなと苦しい気持ちとか頑張ろうという気持ちとかを共有したいっていうのが凄く伝わる商品ですね早速発売日に買って食べたいですそして夢を叶えられたこと本当におめでとうございます
1,エビとかカニを入れずにアレルギーの人でもなるべく楽しめるように作ってるの好き
1,ラーメンとかだけじゃなくてhikakinプレミアムの最初の商品なの夢があって嬉しい
1,ラーメン屋さんって入りにくいって思っていたからセブンで買えるのはうれしいです
1,グッズじゃなくて自分自身のラーメンを出すなんて凄いです
1,味噌ラーメンからもやしメンマネギ赤い調味油って感じがくるり意識してそうで好き
1,味噌味以外も出してほしい
1,ラーメンばばあのときを思い出す本当にラーメンが好きというのが伝わります
1,味噌ラーメン好きだけど辛いだろうなと思ったら辛くないのほんとにありがたい食べたい
1,自身のメンタルの支えになってたラーメンに対してyoutubeで結果を出して恩返しするのカッコ良すぎて
1,商品紹介のプロが自分の商品を紹介するのすごい
1,俺的に一番好きなのが味噌ラーメンだからとんこつとか醤油とか王道のやついかずに味噌をチョイスしてくれたのがとても嬉しい
1,味噌だからって安直にコーン放り込んでないヒカキン信用できる食べたい
1,東京に住んでいなくても食べることが出来る名義だけ貸してるとかでもない本気の一品絶対食べます
1,コンビニで見かけたら絶対買うしかない
1,セブンイレブンに販売するというのもまた身近に感じられるからすごくうれしい
1,具材がくるりのラーメンぽいのも感動でしかない笑
1,めっちゃ美味しそう食べてみたい
1,これが全国のセブンイレブンに並ぶのはこちらとしてもすごく嬉しい
1,0年もかけて研究されたラーメンを0円で味わえるってめっちゃお得だなぁ
1,g明けに発売してくれるから連休明けのショックを和らげてくれているね
1,辛いのが苦手な人にも配慮して幅広い層に食べれるようにしてるところが良いですねo
1,発売したら食べたいですねでもすぐに売りきれそう
1,絶対買うこんなに苦労してまで本当にお疲れ様です
1,ラーメンに対する想いだったり幼少期からの思い出の味噌ラーメンのことも知れて感動で涙が出ました絶対買います
