Column1,Column2
25,大好きなラーメンが作れるくらいビッグな男になったヒカキンさんマジですごい他の商品も当たり前だけどこうやって試作を重ねて作られてるんだなぁと思うとなんだか感動しました絶対食べたい絶対見つけ出して食べます
21,みんな恋人作ればリア充とか金持ちが自由とか言ってるけどヒカキンみたいな好きなことを本当に頑張れて嬉しさに溢れてる人が真のリア充だと思う
20,学生だからyoutuberとかが出すものって高いけどhikakinさんは学生の気持ちも考えてくれたのか0円という化学でこだわりのラーメンが食べれるのは楽しみです友達と買いに行きます
19,お店に行かなきゃネットで会員にならなきゃとかではなくて普通にコンビニで帰るのが本当に素晴らしい何より本人が楽しんでるのが最高必ず買いに行きまーす発売日に行くつもりだけど買えるかなーすっごく楽しみですヒカキンおめでとう
19,私もラーメン大好きなので絶対買いますおめでとうございますここまで努力できるのが本当に尊敬します
19,深夜に見なきゃよかった美味しそうすぎる味もそうだけどhikakinがラーメンと一緒に色々乗り越えてきた想いを聴くと自分もそういう日に食べたいと思った楽しみ初日買います
18,もう涙が止まりませんヒカキンさんの一生懸命努力出来るところとか本当に尊敬します絶対に買います
18,ほんとまだ全然人気出ない頃にヒカキンを友達から勧められて観てたけどそのヒカキンがいまこうしてhikakinpremiumのラーメンが出るそして今となってはyoutube界を代表するくらいの人となってるほんとにすげーこれからも応援してます
18,夢を叶えたいことを叶えるhikakinさん本当に凄い息子もラーメン大好きなので発売されたら即購入して食べますね
17,尊敬でしかないめちゃくちゃ努力を感じるし普通にめっちゃ美味しそう私もラーメンものすごく好きなので嬉しすぎます絶対買いに行きますおめでとうございます
17,カッコよすぎる絶対に買います味噌ラーメン好きなので早く食べたいです
17,正直ここが僕一番見ていただきたいんですけどっておっしゃってますが自分の好きな人の夢が叶う過程を見せていただけるなんて光栄でしかないから見るに決まってますラーメン見かけたら絶対買います楽しみにしてますね
17,凄くこだわって作ったのもあってめっちゃ美味しそうちなみに白味噌派なので尚更食べたーい⌯¤̴̶̷̀ω¤̴̶̷́✧開発中大変そうだったけどもヒカキンさんがとてもキラキラしてて少年のようでした長年の夢のひとつの実現おめでとうございます発売を楽しみに待ちたいと思います
17,絶対買いますhikakinさん素敵です休んでないですよそれみんなのために頑張ってるとか尊敬です
17,キン兄弟がラーメン大好きなのをずっと見てきたからこれほど信頼における商品はないと思ってます絶対食べたい争奪戦になりそうなのでゆっくり手に入れますね笑一つ夢を叶えること本当に素晴らしいし勇気をもらえますおめでとうございます
17,自分の好きな事ラーメンで視聴者をも一緒に喜ばせれるのってhikakinさん位だと思う幸せを独り占めせず皆んなで分かち合える形に出来るhikakinさんはやっぱり凄い絶対買います頂きます
16,努力は報われるってこの人のことをさしてるってぐらい努力してるラーメンは言い方悪いがお金を出せば手に入るだけどヒカキンの努力はお金なんかでは買えないほんと凄いおめでとう
16,ラーメン大好きなhikakinさんが作ったラーメンとか絶対に美味いやんあと手軽に買えるとか最高買うしかないわ
16,なんとなくヒカキンラーメン好きだな〜って思ってたけどまさか作ってみたいと思ってたとは食いて〜楽しみだな〜
16,これだけ魂込めて完成させたラーメン本当に凄いです発売日に近所のセブンイレブンにも並ぶかな田舎だから地域差ありそうですよね見付けたら絶対食べます楽しみです
16,コンビニで売ってくれるのはありがたい味噌ラーメン普段食べんけどhikakinさんのラーメン食べてみたいと思いましたこれからもずっと応援しますがんばってください
