Column1,Column2,列1
0.92669153,キン兄弟がラーメン大好きなのをずっと見てきたからこれほど信頼における商品はないと思ってます絶対食べたい争奪戦になりそうなのでゆっくり手に入れますね笑一つ夢を叶えること本当に素晴らしいし勇気をもらえますおめでとうございます,
0.92364085,ヒカキンにも苦しくて辛い時代があったんですね第0部がすごくよかったですラーメンに助けられたっていう思いとみんなにも元気になってほしいっていう思いが本当に伝わってきて涙が止まりませんでした00の発売を心待ちにしてます,
0.9235392,凄く思いの詰まったラーメンに仕上がったと思いますセブンが無くて買いに行けないのが残念ですが出かけた際に買いたいと思います,
0.92346656,ヒカキンさんホントにラーメン好きですね自分の好きなもので夢が叶えれるのすばらしいと思う,
0.9230085,ヒカキンさんの夢が叶うと見ている自分も嬉しくなってきます,
0.9229826,ラーメンなら手軽に買えて嬉しい一つ一つのことに真剣に向き合う姿は尊敬しかありません他のyoutuberを非難するわけではないのですがいつも全力で取り組んでいて結果がでているのも納得です,
0.92180765,これあれだねスーパーでも発売して欲しいくらい食べたいです僕も小さい時から0年生まれなんですけど味噌ラーメンが大好きで近くに札幌ラーメンがあって毎日のように言っていますそれぐらい味噌ラーメンが大好きです,
0.9215834,ヒカキンさん早く食べたいヒカキンさんの人柄が皆さんが携わってれるんでしょうね,
0.92132604,0年ほど見続けていたのですが初めてコメントしますヒカキンさんがラーメンを作ったという報告が何故かめちゃくちゃ嬉しくて幸せで発売日に絶対食べたいです幸せそうに食べるヒカキンさんを見て笑いながら泣きそうでした,
0.9211762,ラーメン本当に大好きですhikakinさんをずっと前から見てきました小学生だったけれど今はもう高校生で大学受験に向けて勉強しいます勉強のお供として食べていきたいです,
0.9209257,ただヒカキンの名前を使った商品ではなくヒカキンが作りたかったラーメンていうのが良いよね,
0.92072064,0年がかりでの商品化は気合いが入ってますね食堂ミサの味噌ラーメンが原点の味ということで私もミサの味噌ラーメンは大好きなので味には期待できます早く食べてみたい,
0.9191394,そんなにラーメン好きで救われる人がいるんですね私もラーメン屋さんで働いてるけどもっとラーメン屋さんで働いてる事に自信をもって働こうと思います,
0.9191221,夢を叶えたいことを叶えるhikakinさん本当に凄い息子もラーメン大好きなので発売されたら即購入して食べますね,
0.91896665,hikakinさんの真剣さがこっちにまで伝わってきて感動しました元々スーパー店員で僕の人生の諦めない部分をhikakinさんが救ってくれましたありがとうございます,
0.9188649,大好きなラーメンが作れるくらいビッグな男になったヒカキンさんマジですごい他の商品も当たり前だけどこうやって試作を重ねて作られてるんだなぁと思うとなんだか感動しました絶対食べたい絶対見つけ出して食べます,
0.91859615,みんなと苦しい気持ちとか頑張ろうという気持ちとかを共有したいっていうのが凄く伝わる商品ですね早速発売日に買って食べたいですそして夢を叶えられたこと本当におめでとうございます,
0.9184134,hikakinさんのラーメンに対する本気が伝わりました発売が本当に楽しみです,
0.9177214,正直かなり楽しみ自分の口に合うかはもちろんわからないけどhikakinさんが思う至高の一杯がどんな味なのかは食べてみたい,
0.91759104,是非食べてみたいヒカキンさんをずっと支えていたラーメンこだわり抜いた一杯を食べて元気を貰えるといいなぁ,
0.9170245,密着映像見てすごくこだわったのが伝わってきてラーメンの中で味噌ラーメンはあまり食べないけど食べてみたいと思った,
0.9165816,おめでとうございますヒカキンさんの熱い想いがめちゃくちゃ伝わってきて感動しましたセブンさんに並ぶのを楽しみにしています,
0.9165555,ただ発売するのでなくラーメンに助けられた感動的なエピソードがあるのがやっぱりヒカキンさん神だなって思う,
0.9164496,私も以前落ち込んでいた時ラーメンを食べてこの一杯でこんな幸せな気分になれるって本当すごいなぁって思ったの思い出しましたhikakinさんおめでとう早く食べれるの楽しみにしてます,
0.9160381,学生だからyoutuberとかが出すものって高いけどhikakinさんは学生の気持ちも考えてくれたのか0円という化学でこだわりのラーメンが食べれるのは楽しみです友達と買いに行きます,
0.9154517,夢が叶ってすごく良かったですね私たちも夢を諦めずに頑張りたいと思います,
0.91524535,正直ここが僕一番見ていただきたいんですけどっておっしゃってますが自分の好きな人の夢が叶う過程を見せていただけるなんて光栄でしかないから見るに決まってますラーメン見かけたら絶対買います楽しみにしてますね,
0.9145456,自分の好きなラーメンをいつも見てるhikakinさんが作ってくれるとは思ってもいなかった勉強の夜食に食べます0日は朝イチでセブンに直行だ,
0.91435593,味噌ラーメン好きとしてとても気になる絶対買う味噌派閥にも嗜好が違う事があるからhikakinさんがどんな味が好きなのか楽しみ,
0.9142264,すぐ食べたいと思って買いに行こうとしたら0日ですね早く食べたい私ラーメン工場で働いてるのでなんか嬉しいです楽しみにしてます,
0.91421115,ヒカキンの元気な姿が見られるのは嬉しい,
0.9139802,普段あんまりラーメン食べないけどヒカキンさんのラーメンなら食べてみたい,
0.9139544,ラーメンなら豚骨以外断固拒否の自分だけどなぜかこれは食べてみたいと思った,
0.9134245,字も綺麗なところまで本当にヒカキンさんの才能にびっくりですこれからもずっと応援してます,
0.91310185,ヒルクライムのライブで初めてヒカキンさんを見て知ってあれからもう何年も経ってるけど今では今でもヒカキンさんtocさんの大ファンです,
0.91304207,ラーメン屋さんって入りにくいって思っていたからセブンで買えるのはうれしいです,
0.91289204,別にヒカキンさんファンではないけどこの人の努力凄いと思うあと普通にラーメンうまそう,
0.9128173,店舗じゃなくてカップにした事で気軽にみんな食べられるのがなんかhikakinさんの人柄が表れてるなぁって思いました地方民なので東京でお店構えられても食べられないので食べるのとっても楽しみです,
0.91266435,本当にhikakinさんは聖人だなたとえ0週間休んだとしても視聴者の事を考えていて本当に尊敬するわ,
0.9121587,hikakinさんが美味しく食べてるのを見ると発売が待ち遠しいし早く食べてみたいー,
0.91205055,ヒカキンtv好きなので絶対食べます発売待ってるよコンビニで買えるのは嬉しいです,
0.91175425,出来ることなら毎日食べたいくらい同じくラーメンが好きなので必ず買って食べます,
0.91162086,ほんとにみんなに喜んでもらえるように作ってくれてるのがほんとに伝わるhikakinさんの夢が叶って良かったです,
0.9110616,素敵自分もラーメン好きなので発売を楽しみに待ってます,
0.9109263,本当に純粋に発売が楽しみになるヒカキンの熱意人柄息子がカレンダーに書いていました,
0.91090524,初コメですご自身の夢の実現本当におめでとうございます発売日には店頭に沢山並んでいる姿が想像できます味噌味大好きなので店頭に並んだらぜひとも購入したいと思います楽しみにしてます,
